season,date,home,away,market,label,direction,line,actual,won,blended_hit_rate,n_total
1920,2019-08-11,Leicester,Wolves,away_corners,Wolves corners,OVER,2.5,3.0,True,80.0,20
1920,2019-08-11,Leicester,Wolves,home_sot,Leicester shots on target,UNDER,5.5,1.0,True,75.0,20
1920,2019-08-11,Leicester,Wolves,away_sot,Wolves shots on target,UNDER,5.5,2.0,True,90.0,20
1920,2019-08-11,Leicester,Wolves,match_cards,Total match cards,UNDER,5.5,2.0,True,95.0,20
1920,2019-08-11,Newcastle,Arsenal,away_goals,Arsenal to score,UNDER,2.5,1.0,True,90.0,20
1920,2019-08-11,Newcastle,Arsenal,home_corners,Newcastle corners,UNDER,6.5,5.0,True,80.0,20
1920,2019-08-11,Newcastle,Arsenal,away_corners,Arsenal corners,OVER,3.5,3.0,False,80.0,20
1920,2019-08-11,Newcastle,Arsenal,home_sot,Newcastle shots on target,OVER,2.5,2.0,False,80.0,20
1920,2019-08-11,Newcastle,Arsenal,away_sot,Arsenal shots on target,UNDER,4.5,2.0,True,75.0,20
1920,2019-08-11,Newcastle,Arsenal,match_cards,Total match cards,OVER,2.5,4.0,True,75.0,20
1920,2019-08-11,Man United,Chelsea,home_goals,Man United to score,UNDER,2.5,4.0,False,95.0,20
1920,2019-08-11,Man United,Chelsea,away_goals,Chelsea to score,OVER,0.5,0.0,False,85.0,20
1920,2019-08-11,Man United,Chelsea,home_corners,Man United corners,UNDER,6.5,3.0,True,80.0,20
1920,2019-08-11,Man United,Chelsea,away_corners,Chelsea corners,OVER,3.5,5.0,True,75.0,20
1920,2019-08-11,Man United,Chelsea,home_sot,Man United shots on target,UNDER,5.5,5.0,True,75.0,20
1920,2019-08-11,Man United,Chelsea,away_sot,Chelsea shots on target,OVER,2.5,7.0,True,95.0,20
1920,2019-08-11,Man United,Chelsea,match_cards,Total match cards,UNDER,4.5,7.0,False,75.0,20
1920,2019-08-17,Brighton,West Ham,home_goals,Brighton to score,UNDER,2.5,1.0,True,85.0,20
1920,2019-08-17,Brighton,West Ham,home_corners,Brighton corners,UNDER,7.5,8.0,False,85.0,20
1920,2019-08-17,Brighton,West Ham,away_corners,West Ham corners,OVER,3.5,6.0,True,80.0,20
1920,2019-08-17,Brighton,West Ham,home_sot,Brighton shots on target,UNDER,5.5,4.0,True,75.0,20
1920,2019-08-17,Brighton,West Ham,away_sot,West Ham shots on target,OVER,2.5,3.0,True,75.0,20
1920,2019-08-17,Brighton,West Ham,match_cards,Total match cards,UNDER,3.5,2.0,True,80.0,20
1920,2019-08-17,Arsenal,Burnley,home_goals,Arsenal to score,UNDER,2.5,2.0,True,85.0,20
1920,2019-08-17,Arsenal,Burnley,away_goals,Burnley to score,UNDER,2.5,1.0,True,75.0,20
1920,2019-08-17,Arsenal,Burnley,home_corners,Arsenal corners,OVER,4.5,10.0,True,75.0,20
1920,2019-08-17,Arsenal,Burnley,away_corners,Burnley corners,UNDER,6.5,7.0,False,80.0,20
1920,2019-08-17,Arsenal,Burnley,home_sot,Arsenal shots on target,UNDER,6.5,9.0,False,85.0,20
1920,2019-08-17,Arsenal,Burnley,away_sot,Burnley shots on target,UNDER,5.5,5.0,True,80.0,20
1920,2019-08-17,Arsenal,Burnley,match_cards,Total match cards,OVER,1.5,3.0,True,95.0,20
1920,2019-08-17,Aston Villa,Bournemouth,home_goals,Aston Villa to score,OVER,0.5,1.0,True,85.0,20
1920,2019-08-17,Aston Villa,Bournemouth,away_goals,Bournemouth to score,UNDER,2.5,2.0,True,80.0,20
1920,2019-08-17,Aston Villa,Bournemouth,home_corners,Aston Villa corners,OVER,3.5,10.0,True,85.0,20
1920,2019-08-17,Aston Villa,Bournemouth,away_corners,Bournemouth corners,UNDER,6.5,5.0,True,75.0,20
1920,2019-08-17,Aston Villa,Bournemouth,home_sot,Aston Villa shots on target,OVER,3.5,7.0,True,80.0,20
1920,2019-08-17,Aston Villa,Bournemouth,away_sot,Bournemouth shots on target,UNDER,5.5,4.0,True,75.0,20
1920,2019-08-17,Aston Villa,Bournemouth,match_cards,Total match cards,UNDER,5.5,2.0,True,80.0,20
1920,2019-08-17,Southampton,Liverpool,home_goals,Southampton to score,UNDER,1.5,1.0,True,75.0,20
1920,2019-08-17,Southampton,Liverpool,away_goals,Liverpool to score,OVER,1.5,2.0,True,75.0,20
1920,2019-08-17,Southampton,Liverpool,home_corners,Southampton corners,UNDER,7.5,5.0,True,90.0,20
1920,2019-08-17,Southampton,Liverpool,away_corners,Liverpool corners,OVER,2.5,9.0,True,90.0,20
1920,2019-08-17,Southampton,Liverpool,home_sot,Southampton shots on target,UNDER,4.5,3.0,True,80.0,20
1920,2019-08-17,Southampton,Liverpool,away_sot,Liverpool shots on target,OVER,3.5,6.0,True,80.0,20
1920,2019-08-17,Southampton,Liverpool,match_cards,Total match cards,UNDER,3.5,3.0,True,75.0,20
1920,2019-08-17,Norwich,Newcastle,home_goals,Norwich to score,OVER,0.5,3.0,True,90.0,20
1920,2019-08-17,Norwich,Newcastle,away_goals,Newcastle to score,OVER,0.5,1.0,True,75.0,20
1920,2019-08-17,Norwich,Newcastle,home_corners,Norwich corners,OVER,3.5,7.0,True,75.0,20
1920,2019-08-17,Norwich,Newcastle,away_corners,Newcastle corners,UNDER,5.5,5.0,True,75.0,20
1920,2019-08-17,Norwich,Newcastle,home_sot,Norwich shots on target,UNDER,5.5,8.0,False,85.0,20
1920,2019-08-17,Norwich,Newcastle,away_sot,Newcastle shots on target,OVER,3.5,3.0,False,75.0,20
1920,2019-08-17,Norwich,Newcastle,match_cards,Total match cards,UNDER,4.5,4.0,True,80.0,20
1920,2019-08-17,Man City,Tottenham,home_goals,Man City to score,OVER,0.5,2.0,True,85.0,20
1920,2019-08-17,Man City,Tottenham,away_goals,Tottenham to score,UNDER,1.5,2.0,False,80.0,20
1920,2019-08-17,Man City,Tottenham,home_corners,Man City corners,OVER,1.5,13.0,True,80.0,20
1920,2019-08-17,Man City,Tottenham,away_corners,Tottenham corners,UNDER,6.5,2.0,True,80.0,20
1920,2019-08-17,Man City,Tottenham,home_sot,Man City shots on target,OVER,3.5,10.0,True,80.0,20
1920,2019-08-17,Man City,Tottenham,away_sot,Tottenham shots on target,UNDER,5.5,2.0,True,90.0,20
1920,2019-08-17,Man City,Tottenham,match_cards,Total match cards,UNDER,4.5,1.0,True,85.0,20
1920,2019-08-17,Everton,Watford,home_goals,Everton to score,OVER,0.5,1.0,True,85.0,20
1920,2019-08-17,Everton,Watford,away_goals,Watford to score,UNDER,1.5,0.0,True,75.0,20
1920,2019-08-17,Everton,Watford,home_corners,Everton corners,UNDER,8.5,4.0,True,75.0,20
1920,2019-08-17,Everton,Watford,away_corners,Watford corners,UNDER,6.5,7.0,False,80.0,20
1920,2019-08-17,Everton,Watford,away_sot,Watford shots on target,UNDER,5.5,2.0,True,75.0,20
1920,2019-08-17,Everton,Watford,match_cards,Total match cards,UNDER,4.5,5.0,False,80.0,20
1920,2019-08-18,Sheffield United,Crystal Palace,home_goals,Sheffield United to score,OVER,0.5,1.0,True,80.0,20
1920,2019-08-18,Sheffield United,Crystal Palace,away_goals,Crystal Palace to score,UNDER,2.5,0.0,True,80.0,20
1920,2019-08-18,Sheffield United,Crystal Palace,home_corners,Sheffield United corners,OVER,3.5,8.0,True,90.0,20
1920,2019-08-18,Sheffield United,Crystal Palace,away_corners,Crystal Palace corners,UNDER,5.5,4.0,True,80.0,20
